CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
103	104	6	0.9758	0.012
103	210	6	0.9611	17.986
103	217	6	0.9605	0.012
103	218	6	0.952	18.023
39	172	6	0.823	23.940
90	172	6	0.8832	23.975
167	172	6	0.7604	49.979
172	230	6	0.95	-33.984
26	36	6	0.9301	-18.029
33	36	6	0.981	-0.006
36	85	6	0.9836	0.006
36	94	6	0.9891	0.036
36	100	6	0.9365	18.066
36	104	6	0.9741	0.055
36	210	6	0.9572	18.029
36	217	6	0.9591	0.055
255	256	6	0.8983	-17.027
26	94	6	0.9332	-17.993
33	94	6	0.9799	0.030
85	94	6	0.9873	0.030
94	100	6	0.9389	18.029
94	104	6	0.9758	0.019
94	210	6	0.9611	17.993
94	217	6	0.9605	0.019
94	218	6	0.952	18.029
167	169	6	0.7849	17.027
167	230	6	0.8222	15.995
121	238	6	0.8403	-50.016
230	238	6	0.8186	-57.021
33	85	6	0.974	0.000
33	104	6	0.971	0.049
33	217	6	0.9571	0.049
33	218	6	0.947	18.060
26	30	6	0.9743	0.984
85	100	6	0.936	18.059
85	104	6	0.9746	0.049
85	210	6	0.9549	18.023
85	217	6	0.9626	0.049
85	218	6	0.9448	18.059
24	216	6	0.9479	0.046
32	216	6	0.9614	0.027
83	216	6	0.9479	0.026
169	255	6	0.841	-23.016
31	205	6	0.9137	18.010
100	104	6	0.9302	-18.010
100	210	6	0.9692	-0.036
100	217	6	0.9282	-18.010
100	218	6	0.9627	0.000
104	217	6	0.959	0.000
104	218	6	0.9497	18.010
24	32	6	0.9655	0.019
32	83	6	0.9655	0.000
32	218	6	0.9517	17.053
39	230	6	0.8356	-10.044
90	230	6	0.9114	-10.010
121	240	6	0.7806	-56.063
150	240	6	0.8212	-16.031
121	150	6	0.8158	-40.031
39	90	6	0.906	-0.035
24	218	6	0.9435	17.072
83	218	6	0.9435	17.053
210	218	6	0.9735	0.036
24	210	6	0.9631	17.036
83	210	6	0.9631	17.016
150	231	6	0.9011	-16.031
24	26	6	0.9376	17.036
24	83	6	1.0	0.020
26	31	6	0.9839	-17.026
26	83	6	0.9376	-17.016
26	90	6	0.9403	-25.990
224	225	7	0.9324	0.071
225	228	7	0.9705	-0.071
225	263	7	0.8025	-72.092
132	229	7	0.7674	129.027
153	229	7	0.7569	29.977
164	229	7	0.742	74.004
197	229	7	0.748	41.995
186	189	7	0.8619	-0.018
131	220	7	0.8969	-0.000
132	220	7	0.7713	87.032
189	220	7	0.8871	0.000
197	220	7	0.8716	0.000
110	170	7	0.9306	0.000
110	222	7	0.7647	1.047
97	131	7	0.8413	-42.010
97	153	7	0.8196	-29.993
153	164	7	0.8654	-44.026
224	228	7	0.9323	0.000
228	263	7	0.8067	-72.021
131	189	7	0.8011	-0.000
189	197	7	0.8973	0.000
131	319	7	0.7626	-84.094
132	319	7	0.7531	2.938
197	319	7	0.7849	-84.094
224	263	7	0.746	-72.021
131	197	7	0.8806	-0.000
132	197	7	0.8255	87.032
131	132	7	0.7972	-87.032
132	165	7	0.8317	-1.962
132	263	7	0.7802	-12.037
154	222	7	0.9684	0.000
165	222	7	0.7714	-57.021
170	222	7	0.8245	1.047
165	263	7	0.7987	-10.075
154	165	7	0.7833	57.021
154	170	7	0.811	-1.047
75	161	8	0.8476	1.014
80	161	8	0.9505	0.011
149	161	8	0.9523	-0.212
161	180	8	0.9591	0.212
161	190	8	0.9643	0.221
161	201	8	0.9508	-0.011
161	202	8	0.7966	-1.014
161	204	8	0.8354	-1.008
161	212	8	0.9533	0.212
161	219	8	0.9565	0.212
75	212	8	0.873	1.226
80	212	8	0.9941	0.223
149	212	8	0.9898	-0.000
180	212	8	0.9881	-0.000
190	212	8	0.9915	-0.009
201	212	8	0.9936	0.223
202	212	8	0.8328	1.226
