"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"294_234.21_3.4",294,234.206465127233,3.3937316,"C12H27NO3"
"295_357.24_3.4",295,357.235683029314,3.435814,NA
"296_241.2_3.5",296,241.203699578002,3.45208,NA
"297_217.11_3.5",297,217.107151249878,3.4568818,"C10H18O6"
"298_251.19_3.5",298,251.185357805485,3.4630523,"C12H26O5"
"3_265.02_0.4",3,265.015638967596,0.4134636,"C8H10N4O2S"
"30_129.1_0.4",30,129.102504430536,0.4473155,"C6H14N2O2"
"300_379.25_3.5",300,379.248820668641,3.5097325,NA
"301_401.26_3.6",301,401.262011353057,3.576826,NA
"302_443.27_3.6",302,443.269758518937,3.6004071,"C24H40N2O2S"
"303_868.51_3.6",303,868.505345916629,3.601755,NA
"304_243.09_3.6",304,243.087741049311,3.615068,"C12H10N4O2"
"305_852.51_3.6",305,852.510381741541,3.6281478,NA
"306_342.26_3.7",306,342.263945469839,3.686945,"C19H37NO5"
"309_185.11_3.7",309,185.114917312001,3.6942856,NA
"31_147.11_0.4",31,147.112904147316,0.448894,"C6H14N2O2"
"310_163.13_3.7",310,163.132911494288,3.6957746,"C8H18O3"
"311_207.16_3.9",311,207.159169516426,3.9242454,"C10H22O4"
"312_309.23_4",312,309.227092757209,3.9973266,"C15H32O6"
"313_183.08_4",313,183.078197247276,4.0415835,"C8H16O2"
"314_155.05_4",314,155.046837135844,4.0417814,"C6H12O2"
"315_256.15_4.1",315,256.154364317701,4.073064,NA
"316_149.06_4.1",316,149.059839822818,4.0732613,"C9H10O3"
"317_233.08_4.1",317,233.078525283669,4.0732613,NA
"318_211.1_4.1",318,211.096563077849,4.073512,"C11H14O4"
"319_246.17_4.1",319,246.170031945048,4.082903,"C12H23NO4"
"32_147.1_0.5",32,147.103184801645,0.4506415,"C6H17N2OP"
"320_246.24_4.1",320,246.242827827933,4.119198,"C14H31NO2"
"321_202.22_4.1",321,202.216602084119,4.135213,"C12H27NO"
"322_262.24_4.2",322,262.237798324196,4.2181225,"C14H31NO3"
"323_243.21_4.6",323,243.206800471996,4.5750933,"C13H26N2O2"
"324_274.27_4.8",324,274.273993460272,4.7829094,"C16H35NO2"
"325_230.25_4.8",325,230.247929922228,4.8062057,"C14H31NO"
"326_290.27_4.9",326,290.268969786243,4.8651466,"C16H35NO3"
"327_277.13_4.9",327,277.128184002282,4.8965635,"C12H20O7"
"328_322.19_4.9",328,322.186009412598,4.896609,"C13H25N5O3"
"329_299.11_4.9",329,299.110182785545,4.8966165,NA
"33_148.11_0.5",33,148.109906396487,0.45132676,NA
"330_412.25_4.9",330,412.245946626959,4.899558,"C18H38NO7P"
"331_213.15_4.9",331,213.146216633139,4.9404354,NA
"332_191.16_4.9",332,191.164209071722,4.941029,"C10H22O3"
"333_226.18_5",333,226.180186301634,4.9617853,"C13H25NO3"
"334_244.19_5",334,244.190761341269,4.9621944,"C13H25NO3"
"335_261.11_5.1",335,261.109841706931,5.074321,NA
"336_163.08_5.1",336,163.075376288608,5.074571,"C10H10O2"
"337_205.14_5.1",337,205.143524412819,5.148778,"C10H20O4"
"338_191.16_5.2",338,191.16419558034,5.1657414,"C10H22O3"
"339_274.27_5.2",339,274.27398326098,5.1780167,"C16H35NO2"
"34_156.08_0.5",34,156.076827076731,0.45501524,"C6H9N3O2"
"340_163.08_5.2",340,163.075377728156,5.18384,"C10H10O2"
"341_239.13_5.2",341,239.127823327592,5.18384,"C13H18O4"
"342_261.11_5.2",342,261.109845831893,5.18384,NA
"343_284.19_5.2",343,284.185597971594,5.1844387,"C15H27NO5"
"344_272.26_5.3",344,272.258324783495,5.3128138,"C16H35NO3"
"345_302.31_5.3",345,302.305393712846,5.342753,"C18H39NO2"
"346_318.3_5.4",346,318.300346677933,5.404178,"C18H39NO3"
"347_198.19_5.5",347,198.185367753755,5.4721684,"C12H25NO2"
"348_451.23_5.6",348,451.230359963317,5.55879,NA
"349_158.15_5.6",349,158.154039411319,5.595717,"C9H19NO"
"35_169.09_0.5",35,169.094809843315,0.45533895,"C6H14N2O2"
"350_398.23_5.6",350,398.23026679147,5.598686,"C17H36NO7P"
"351_223.13_5.6",351,223.132820699143,5.611721,"C13H20O4"
"352_249.21_5.6",352,249.206078966373,5.618715,"C13H28O4"
