cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:A	ATTRIBUTE_group:GNPSGROUP:B	ATTRIBUTE_group:GNPSGROUP:C	ATTRIBUTE_group:GNPSGROUP:D
36	732.5530026715775	1.749699		376155.88999999996	260225.05	698581.0375	565436.8925
37	730.5392627210827	1.7614188		411750.5125	320004.1875	942246.0599999999	899679.96
38	262.23843948299714	1.7715833		238446.45	0.0	0.0	0.0
39	344.2428694776842	1.7926333		0.0	14227.835	0.0	0.0
40	704.5237457012136	1.7994916		150114.23125	137191.1375	381977.1725	377545.2875
41	130.05040667581736	1.80545		0.0	0.0	0.0	13381.61
42	273.181741981995	1.80545		0.0	0.0	0.0	43854.38
43	124.039693643905	1.8077862		333039.56	332174.4325	282026.1775	167723.72
44	135.0810441588378	1.8220167		0.0	0.0	0.0	16971.94
45	319.2847592585071	1.8243792		21770.425	12812.8955	15757.6095	16219.2335
46	512.4161826291693	1.8301333		13612.07625	0.0	0.0	0.0
47	165.0763115335984	1.8316833		0.0	0.0	0.0	12866.55575
48	321.1309984117396	1.8316833		0.0	0.0	0.0	13795.21675
49	468.39015589189904	1.8326555		21279.63875	0.0	17178.9175	14553.54875
50	380.3370961412746	1.833925		22366.9475	12767.705	17677.265	18223.685
51	361.1975176936826	1.8344333		0.0	0.0	0.0	25714.82
52	363.310596640566	1.8358778		20363.985	0.0	16269.30175	16856.4175
53	678.5062096190941	1.8364416		0.0	0.0	17298.945	23850.1875
54	174.185733870921	1.83795		154865.25	0.0	0.0	0.0
55	676.491000013928	1.8411916		0.0	0.0	17720.73625	23654.005
56	424.363466131941	1.8414066		24657.2375	27133.71	21021.7825	18988.1835
57	240.1594781508243	1.8499833		0.0	15992.76	0.0	0.0
58	282.20653047458245	1.8764833		0.0	32555.9335	0.0	0.0
59	300.2169750624489	1.8764833		0.0	32712.7175	0.0	0.0
60	288.25386595257123	1.8835		15421.6275	0.0	0.0	0.0
61	158.08186302100395	1.8862792		21109.9125	22170.235	13505.79	14443.39
62	246.13421076868363	1.8906		0.0	0.0	0.0	18672.965
63	296.18593864998263	1.90555		0.0	13451.791	0.0	0.0
64	247.10760881107544	1.9065334		0.0	0.0	0.0	13282.416
65	344.2071795577813	1.9099833		0.0	0.0	0.0	36065.3275
66	196.09701523978	1.9279084		12819.3775	0.0	15060.9175	115306.32600000002
67	154.0866852906468	1.9292333		0.0	0.0	0.0	18563.496
68	137.06031643932968	1.9292834		0.0	0.0	0.0	49061.343
69	178.08657282494903	1.9322916		0.0	0.0	0.0	59788.471000000005
70	136.0761951135175	1.9329532		34826.79	0.0	0.0	143029.83625
71	298.20138078424503	1.9345334		0.0	15760.97	0.0	0.0
72	342.20256317080646	1.9389833		0.0	0.0	0.0	13581.51375
73	457.26579716027857	1.9389833		0.0	0.0	0.0	20644.73
74	234.2068484566263	1.9407		635233.3	0.0	0.0	0.0
75	347.18142552533834	1.9468167		0.0	0.0	0.0	45923.945
76	324.2171559241083	1.9537333		0.0	13256.25875	0.0	0.0
77	317.1713678828923	1.9583666		0.0	0.0	0.0	24908.7275
78	232.06045522294045	1.98285		0.0	12699.24125	0.0	0.0
79	200.1285468533944	1.9955444		0.0	0.0	0.0	190922.89500000002
80	76.03962517480072	1.9971334		0.0	0.0	0.0	13657.005
81	125.09650349626234	1.9971334		0.0	0.0	0.0	18242.3125
82	106.08660968524237	1.9978334		18111.334	0.0	0.0	0.0
83	116.07083159052912	1.9978334		13676.1375	0.0	0.0	0.0
84	134.08150263041347	1.9978334		13170.7475	0.0	0.0	0.0
85	326.23264399749803	2.0018334		0.0	70182.675	0.0	0.0
86	344.2430013936154	2.0018334		0.0	34270.5125	0.0	0.0
87	362.2539928571114	2.0018334		0.0	30788.92375	0.0	0.0
