CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
204	599	6	0.8582	126.141
275	599	6	0.781	70.078
599	655	6	0.8539	14.016
599	714	6	0.833	-15.995
247	425	6	0.9352	-0.984
378	425	6	0.8457	357.142
381	425	6	0.9516	0.000
382	425	6	0.895	268.081
421	425	6	0.878	21.982
425	501	6	0.833	24.995
425	725	6	0.7914	-47.052
128	282	6	0.8532	-17.063
282	285	6	0.8379	45.058
282	370	6	0.9024	-15.996
247	421	6	0.8449	-22.966
381	421	6	0.8574	-21.982
99	701	6	0.7824	31.936
701	741	6	0.7977	-19.932
99	749	6	0.8584	-24.053
371	749	6	0.7982	57.981
562	749	6	0.8346	-2.964
741	749	6	0.8568	-36.058
655	714	6	0.8022	-30.010
247	319	6	0.7878	-2.988
371	698	6	0.8398	15.026
371	744	6	0.8069	15.025
191	655	6	0.7912	166.172
204	655	6	0.8125	140.156
128	218	6	0.8389	-15.995
218	370	6	0.8781	-17.063
218	373	6	0.8599	27.995
378	381	6	0.8639	357.142
378	382	6	0.9604	89.061
698	717	6	0.7834	-0.000
698	744	6	0.7934	-0.000
698	812	6	0.7896	-162.053
69	223	6	0.9195	-15.995
223	695	6	0.8221	-3.995
126	248	6	0.8462	-16.012
246	248	6	0.8925	-18.010
247	248	6	0.9059	-44.007
99	126	6	0.8591	1.998
99	246	6	0.8959	3.996
99	247	6	0.9524	29.992
99	348	6	0.7994	-15.995
99	741	6	0.8936	12.005
66	377	6	0.9554	-0.000
373	377	6	0.7886	162.053
377	725	6	0.826	-120.042
501	554	6	0.8699	2.938
285	373	6	0.9282	-15.995
717	744	6	0.7932	-0.000
66	725	6	0.8149	-120.043
246	247	6	0.904	25.996
247	381	6	0.9675	-0.984
247	501	6	0.8849	24.012
247	609	6	0.8153	-116.011
126	246	6	0.8453	1.998
382	385	6	0.7973	-21.982
381	609	6	0.7987	-115.027
169	174	6	0.8212	2.015
174	191	6	0.8737	28.031
174	204	6	0.85	54.047
291	561	6	0.7853	-127.988
561	562	6	0.9302	37.956
381	382	6	0.9214	-268.081
381	501	6	0.8543	24.995
370	373	6	0.8729	45.058
373	725	6	0.8217	42.010
191	204	6	0.7959	26.016
169	204	6	0.8129	56.062
690	694	7	0.8005	18.010
690	692	7	0.7223	2.004
219	253	8	0.7382	-63.995
219	406	8	0.7307	-29.975
587	588	9	0.7403	-83.962
586	587	9	0.7772	-167.923
686	746	10	0.811	2.993
746	761	10	0.8103	0.000
686	761	10	0.86	2.993
86	87	11	0.7358	-18.011
87	106	11	0.7683	18.011
87	112	11	0.9289	0.000
86	112	11	0.7625	-18.011
106	112	11	0.7745	-18.011
58	59	11	0.7724	-18.010
59	71	11	0.7115	2.016
59	106	11	0.7165	-44.026
57	58	11	0.7438	-42.047
63	71	11	0.7551	-2.015
86	106	11	0.8008	-0.000
18	19	12	0.8372	18.011
127	135	13	0.7589	28.031
718	748	16	0.9542	0.000
718	770	16	0.9001	0.001
718	777	16	0.8831	117.997
718	788	16	0.8798	117.997
718	801	16	0.7515	180.064
748	770	16	0.9082	0.000
