formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H27NO2	[M + H]+	C12H28NO2+	1.000	0.500	64.866	62.183	2.683	13	0.636	-0.091	1.721	2.037		218.212	99	1.653	695994771606148753	695994642220255272	24	
1	C44H82NO8P	[M + H]+	C44H83NO8P+	1.000	1.000	22.648	22.648	0.000	10	0.824	1.211	2.144	1.145		784.586	99	1.657	695994772096882365	695994642283169836	25	
1	C40H85NO8P	[M + Na]+	C40H85NNaO8P+	0.940	0.024	16.244	16.244	0.000	10	0.812	0.736	1.608	-3.192		761.588	102	1.697	695994797954768856	695994642488690736	26	
1	C42H82NO8P	[M + H]+	C42H83NO8P+	1.000	1.000	14.335	6.009	8.326	6	0.626	-0.259	2.485	-1.988		760.584	102	1.697	695994801377321371	695994642547410996	27	
1	C42H80NO8P	[M + H]+	C42H81NO8P+	1.000	1.000	12.479	12.479	0.000	4	0.828	1.564	1.782	1.132		758.570	102	1.699	695994779441109284	695994642765514808	28	
1	C10H22BF3N6O3	[M + H3N + H]+	C10H26BF3N7O3+	1.000	0.017	158.632	158.632	0.000	32	0.519	-2.646	3.315	2.281		359.218	102	1.702	695994835326020301	695994642866178108	29	
1	C9H19NO4	[M - H2O + H]+	C9H18NO3+	0.999	0.333	63.012	63.012	0.000	10	0.601	2.145	2.145	-95734.409		188.128	102	1.705	695994773770409847	695994642971035716	31	
1	C3H6O	[M + H3N + H]+	C3H10NO+	0.508	0.500	0.927	0.927	0.000	0		2.322	2.322	3.019		76.076	102	1.705	695994788182039767	695994642929092672	30	
1	C9H16O4	[M + H3N + H]+	C9H20NO4+	0.947	0.333	124.610	120.353	4.258	25	0.834	2.006	3.089	1.967		206.139	102	1.705	695994776257632222	695994643042338888	32	
1	C6H10FNO3	[M - H2O + H]+	C6H9FNO2+	0.499	0.236	66.472	66.472	0.000	14	0.399	-4.568	5.490	-123313.920		146.060	103	1.724	695994802270708264	695994643130419276	33	
1	C11H20FN5O2	[M + Na]+	C11H20FN5NaO2+	0.925	0.985	111.831	111.831	0.000	33	0.708	-1.573	5.598	-1.060		296.149	104	1.738	695994798730715218	695994643189139536	34	
1	C38H81NO8P	[M + Na]+	C38H81NNaO8P+	1.000	0.913	11.851	11.559	0.292	7	0.832	1.696	2.130	-2.932		733.557	105	1.747	695994797933797312	695994643407243348	35	
1	C40H78NO8P	[M + H]+	C40H79NO8P+	1.000	1.000	23.162	15.630	7.532	4	0.769	1.825	5.057	-1.067		732.553	105	1.750	695994773954959230	695994643482740824	36	
1	C40H76NO8P	[M + H]+	C40H77NO8P+	1.000	1.000	14.692	14.692	0.000	8	0.791	2.812	2.812	1.545		730.539	106	1.762	695994772281431749	695994643734399068	37	
1	C14H28O3	[M + H3N + H]+	C14H32NO3+	0.786	0.500	48.094	44.050	4.044	13	0.808	2.464	2.474	2.935		262.238	106	1.772	695994785107614565	695994643839256672	38	
1	C13H33BN3O5	[M + Na]+	C13H33BN3NaO5+	0.999	1.000	92.959	92.959	0.000	45	0.813	0.244	4.030	-3.802		344.243	108	1.793	695994800752370014	695994643881199716	39	
1	C38H74NO8P	[M + H]+	C38H75NO8P+	1.000	1.000	15.469	15.469	0.000	4	0.840	1.641	1.641	1.801		704.524	108	1.799	695994798860738664	695994644028000360	40	
1	C5H9NO4	[M - H2O + H]+	C5H8NO3+	1.000	0.333	11.623	11.623	0.000	2	0.176	3.060	3.060	-138484.948		130.050	108	1.805	695994794909703880	695994644086720620	41	
1	C13H21NO4	[M + H3N + H]+	C13H25N2O4+	1.000	0.333	62.738	60.499	2.239	13	0.501	5.893	5.893	3.135		273.182	108	1.805	695994801419264414	695994644132857968	42	
1	C6H7NO3	[M - H2O + H]+	C6H6NO2+	1.000	0.333	41.552	39.539	2.013	6	0.640	1.620	2.366	-145196.909		124.040	108	1.808	695994802740470354	695994644195772532	43	
1	C9H12O2	[M - H2O + H]+	C9H11O+	1.000	0.498	18.695	18.695	0.000	2	0.108	3.972	3.972	-133327.120		135.081	109	1.822	695994771971053229	695994644262881400	44	
1	C16H36N3O3	[M + H]+	C16H37N3O3+	0.617	0.333	78.431	76.944	1.486	25	0.531	-0.604	2.759	5.689		319.285	109	1.824	695994773405505376	695994644304824444	45	
1	C27H50N4O4	[M + H3N + H]+	C27H54N5O4+	0.999	0.333	102.854	99.844	3.010	28	0.575	1.042	3.491	-1.662		512.416	110	1.830	695994811456234684	695994644355156096	46	
1	C7H12NO2	[M + Na]+	C7H12NNaO2+	0.999	0.030	22.896	22.896	0.000	4	0.276	1.770	1.770	1.731		165.076	110	1.832	695994781458569708	695994644392904836	47	
1	C13H18N6O5	[M - H2O + H]+	C13H17N6O4+	0.269	0.008	36.438	36.438	0.000	16	0.542	2.290	2.958	-56083.480		321.131	110	1.832	695994805525488526	695994644434847880	48	
1	C24H50O7	[M + H3N + H]+	C24H54NO7+	0.998	0.998	81.094	78.425	2.669	11	0.245	-2.072	2.854	1.453		468.390	110	1.833	695994781924137515	695994644472596620	49	
1	C20H42O5	[M + H3N + H]+	C20H46NO5+	1.000	1.000	105.857	102.661	3.196	15	0.426	-0.246	4.670	0.131		380.337	110	1.834	695994776400238577	695994644510345360	50	
