"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C12H22N2O4"	"[M - H2O + H]+"	"C12H21N2O3+"	"Amino acids and Peptides"	0.892	"Small peptides"	0.96	"Aminoacids"	0.718	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.911	"Amino acids and derivatives"	0.909	"Alpha amino acids and derivatives"	0.791	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	241.155	252	4.206	695994888451077376	695994663070142208	453	NA	453
1	"C11H9NO4"	"[M + H3N + H]+"	"C11H13N2O4+"	"Alkaloids"	0.885	"Tryptophan alkaloids"	0.565	"Simple oxindole alkaloids"	0.591	"Organoheterocyclic compounds"	0.684	"Indoles and derivatives"	0.59	NA	NA	NA	NA	"Indoles and derivatives"	0.59	"Organic compounds; Organoheterocyclic compounds; Ketones; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	237.087	252	4.208	695994918083836672	695994663120473856	454	NA	454
4	"C12H11NO5S"	"[M + H3N + H]+"	"C12H15N2O5S+"	"Amino acids and Peptides"	0.956	"β-lactams"	0.966	"Cephalosporins"	0.217	"Organic acids and derivatives"	0.963	"Carboxylic acids and derivatives"	0.951	"Amino acids, peptides, and analogues"	0.868	"Amino acids and derivatives"	0.866	"Alpha amino acids and derivatives"	0.888	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Azetidines; Lactams; Beta lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	299.07	253	4.211	695994891261261312	695994663149833984	455	NA	455
1	"C15H25N3O5"	"[M - H2O + H]+"	"C15H24N3O4+"	"Amino acids and Peptides"	0.998	"Small peptides"	0.995	"Dipeptides"	0.673	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Peptides"	0.957	"Oligopeptides"	0.553	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"	310.176	253	4.219	695994960207233664	695994663225331456	456	NA	456
3	"C14H23NO4"	"[M + H3N + H]+"	"C14H27N2O4+"	"Alkaloids"	0.697	"Ornithine alkaloids"	0.67	"Pyrrolizidine alkaloids"	0.179	"Organic acids and derivatives"	0.982	"Carboxylic acids and derivatives"	0.971	"Carboxylic acid derivatives"	0.888	"Carboxylic acid esters"	0.695	"Carboxylic acid esters"	0.695	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	287.197	254	4.233	695994941735518080	695994663263080192	457	NA	457
1	"C7H10O2"	"[M + H3N + H]+"	"C7H14NO2+"	"Fatty acids"	0.923	"Fatty Acids and Conjugates"	0.437	"Unsaturated fatty acids"	0.506	"Organic oxygen compounds"	0.996	"Organooxygen compounds"	0.993	"Carbonyl compounds"	0.782	NA	NA	"Carbonyl compounds"	0.782	"Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	144.102	254	4.234	695994935402118784	695994663334383360	458	NA	458
1	"C5H13NO"	"[M - H2O + H]+"	"C5H12N+"	"Fatty acids"	0.592	"Pseudoalkaloids (transamidation)"	0.35	"Sphingoid bases"	0.661	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	0.999	"Amines"	0.973	"Alkanolamines"	0.844	"1,2-aminoalcohols"	0.7	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	86.097	255	4.253	695994921577692160	695994663376326400	459	NA	459
1	"C6H15NO3"	"[M - H2O + H]+"	"C6H14NO2+"	"Amino acids and Peptides"	0.999	"Small peptides"	0.999	"Aminoacids"	0.999	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acids"	0.921	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	132.102	255	4.255	695994881010381824	695994663405686528	460	NA	460
1	"C6H13NO3"	"[M - H2O + H]+"	"C6H12NO2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"Alpha amino acids"	0.986	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.087	255	4.256	695994932659043712	695994663435046656	461	NA	461
1	"C6H11NO4"	"[M - H2O + H]+"	"C6H10NO3+"	"Amino acids and Peptides"	0.988	"Small peptides"	0.981	"Aminoacids"	0.987	"Organic acids and derivatives"	0.954	"Carboxylic acids and derivatives"	0.962	"Amino acids, peptides, and analogues"	0.945	"Amino acids and derivatives"	0.944	"Alpha amino acids"	0.735	"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	144.066	256	4.262	695994922018094080	695994663460212480	462	NA	462
5	"C7H7NO2"	"[M + H]+"	"C7H8NO2+"	"Alkaloids"	0.962	"Nicotinic acid alkaloids"	0.969	"Pyridine alkaloids"	0.968	"Organoheterocyclic compounds"	0.922	"Pyridines and derivatives"	0.789	NA	NA	NA	NA	"Pyridines and derivatives"	0.789	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Ketones; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	138.055	256	4.262	695994895283599104	695994663485378304	463	NA	463
1	"C5H11NO"	"[M - H2O + H]+"	"C5H10N+"	"Alkaloids"	0.769	"Pseudoalkaloids (transamidation)"	0.383	"Acetate-derived alkaloids"	0.403	"Organoheterocyclic compounds"	0.675	"Piperidines"	0.593	NA	NA	NA	NA	"Piperidines"	0.593	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Organooxygen compounds; Amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	84.081	256	4.262	695994880683226112	695994663514738432	464	NA	464
2	"C8H13NO5"	"[M + H]+"	"C8H14NO5+"	"Carbohydrates"	0.999	"Aminosugars and aminoglycosides"	1	"Aminosugars"	1	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.975	"Aminosaccharides"	0.963	"Acylaminosugars"	0.813	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Acylaminosugars; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Hemiacetals; Carboxylic acid derivatives; Amino sugars; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; N-acyl-alpha-hexosamines; Polyols; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	204.087	256	4.262	695994961486496384	695994663581847296	466	NA	466
1	"C6H9NO3"	"[M - H2O + H]+"	"C6H8NO2+"	"Amino acids and Peptides"	0.973	"Small peptides"	0.831	"Aminoacids"	0.833	"Organic acids and derivatives"	0.965	"Carboxylic acids and derivatives"	0.951	"Amino acids, peptides, and analogues"	0.572	"Amino acids and derivatives"	0.568	"Amino acids and derivatives"	0.568	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	126.055	256	4.262	695994894440544000	695994663544098560	465	NA	465
1	"C8H8O4"	"[M + H3N + H]+"	"C8H12NO4+"	"Polyketides"	0.635	"Cyclic polyketides"	0.472	"Simple phenolic acids"	0.346	"Benzenoids"	0.677	"Phenols"	0.772	"1-hydroxy-2-unsubstituted benzenoids"	0.699	NA	NA	"1-hydroxy-2-unsubstituted benzenoids"	0.699	"Organic compounds; Phenols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	186.076	256	4.263	695994890808276352	695994663611207424	467	NA	467
2	"C8H13BN2O4S"	"[M + H]+"	"C8H14BN2O4S+"	"Amino acids and Peptides"	0.89	"Small peptides"	0.718	"Aminoacids"	0.588	"Organic acids and derivatives"	0.855	"Boronic acid derivatives"	0.479	"Boronic acids"	0.652	NA	NA	"Boronic acids"	0.652	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Boronic acids; Organometallic compounds; Organometalloid compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	244.079	256	4.265	695994893979170432	695994663640567552	468	NA	468
1	"C8H15NO6"	"[M + K]+"	"C8H15KNO6+"	"Carbohydrates"	0.995	"Aminosugars and aminoglycosides"	0.999	"Aminosugars"	0.999	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.909	"Aminosaccharides"	0.786	"Acylaminosugars"	0.674	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Acylaminosugars; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Hemiacetals; Carboxylic acid derivatives; Amino sugars; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; N-acyl-alpha-hexosamines; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	260.053	256	4.265	695994901096904832	695994663669927680	469	NA	469
1	"C6H13NO"	"[M - H2O + H]+"	"C6H12N+"	"Alkaloids"	0.913	"Lysine alkaloids"	0.819	"Piperidine alkaloids"	0.659	"Organoheterocyclic compounds"	0.922	"Piperidines"	0.761	NA	NA	NA	NA	"Piperidines"	0.761	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Organooxygen compounds; Trialkylamines; Amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	98.097	258	4.296	695994937570573952	695994663690899200	470	NA	470
1	"C11H19O2"	"[M + H3N + H]+"	"C11H23NO2+"	"Fatty acids"	0.657	"Apocarotenoids"	0.233	"Irregular monoterpenoids"	0.153	"Lipids and lipid-like molecules"	0.532	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.532	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	201.171	258	4.297	695994928087252224	695994663716065024	471	NA	471
2	"C7H14O3"	"[M + H3N + H]+"	"C7H18NO3+"	"Fatty acids"	0.983	"Fatty Acids and Conjugates"	0.784	"Hydroxy fatty acids"	0.272	"Lipids and lipid-like molecules"	0.741	"Fatty Acyls"	0.755	NA	NA	NA	NA	"Fatty Acyls"	0.755	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	164.128	258	4.299	695994922471078912	695994663745425152	472	NA	472
2	"C33H45N5O10S"	"[M + Na]+"	"C33H45N5NaO10S+"	"Polyketides"	0.428	"Oligopeptides"	0.974	"Depsipeptides"	0.711	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.983	"Amino acids, peptides, and analogues"	0.953	"Peptides"	0.857	"Dipeptides"	0.519	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	726.281	258	4.3	695994988539757824	695994663770590976	473	NA	473
1	"C18H36FN5O9"	"[M + Na]+"	"C18H36FN5NaO9+"	"Carbohydrates"	0.86	"Aminosugars and aminoglycosides"	0.427	"Aminoglycosides"	0.431	"Organic acids and derivatives"	0.798	"Carboxylic acids and derivatives"	0.668	"Amino acids, peptides, and analogues"	0.737	"Amino acids and derivatives"	0.731	"Amino acids and derivatives"	0.731	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	508.239	259	4.31	695994925922991232	695994663799951104	474	NA	474
2	"C12H20N6O7S"	"[M + Na]+"	"C12H20N6NaO7S+"	"Carbohydrates"	0.901	"Nucleosides"	0.919	"Purine nucleosides"	0.814	"Nucleosides, nucleotides, and analogues"	0.788	"5'-deoxyribonucleosides"	0.76	"5'-deoxy-5'-thionucleosides"	0.618	NA	NA	"5'-deoxy-5'-thionucleosides"	0.618	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; Tetrahydrofurans; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 5'-deoxyribonucleosides; 5'-deoxy-5'-thionucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	415.1	259	4.32	695995019476945536	695994663829311232	475	NA	475
1	"C17H19F3N4O5"	"[M - H2O + H]+"	"C17H18F3N4O4+"	"Alkaloids"	0.507	"Pseudoalkaloids (transamidation)"	0.07	"Purine alkaloids"	0.035	"Benzenoids"	0.954	"Benzene and substituted derivatives"	0.873	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.873	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Benzene and substituted derivatives; Benzenoids; Amines; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	399.127	259	4.322	695994948547068160	695994663858671360	476	NA	476
2	"C22H39NO17"	"[M + Na]+"	"C22H39NNaO17+"	"Terpenoids"	0.442	"Monoterpenoids"	0.702	"Terpenoid tetrahydroisoquinoline alkaloids"	0.596	"Lipids and lipid-like molecules"	0.636	"Prenol lipids"	0.835	"Terpene glycosides"	0.817	NA	NA	"Terpene glycosides"	0.817	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Monoterpenoids; Bicyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous esters; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	612.213	260	4.328	695995048665107840	695994663883837184	477	NA	477
1	"C7H12FNO2"	"[M + Na]+"	"C7H12FNNaO2+"	"Amino acids and Peptides"	0.977	"Small peptides"	0.98	"Aminoacids"	0.984	"Organic acids and derivatives"	0.965	"Carboxylic acids and derivatives"	0.959	"Amino acids, peptides, and analogues"	0.856	"Amino acids and derivatives"	0.856	"Alpha amino acids and derivatives"	0.618	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Halogenated fatty acids; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	184.074	261	4.355	695994908906699136	695994663913197312	478	NA	478
3	"C8H9F3O4"	"[M + H3N + H]+"	"C8H13F3NO4+"	"Terpenoids"	0.295	"Phenolic acids (C6-C1)"	0.105	"Simple phenolic acids"	0.086	"Organic acids and derivatives"	0.888	"Carboxylic acids and derivatives"	0.894	"Carboxylic acids"	0.769	NA	NA	"Carboxylic acids"	0.769	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	244.079	261	4.356	695994942511464320	695994663942557568	479	NA	479
1	"C7H9NO3"	"[M - H2O + H]+"	"C7H8NO2+"	"Amino acids and Peptides"	0.997	"Small peptides"	0.996	"Aminoacids"	0.993	"Organic acids and derivatives"	0.983	"Carboxylic acids and derivatives"	0.976	"Amino acids, peptides, and analogues"	0.855	"Amino acids and derivatives"	0.854	"Alpha amino acids and derivatives"	0.688	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	138.055	262	4.363	695994890611144064	695994663967723392	480	NA	480
1	"C8H10O5"	"[M + H3N + H]+"	"C8H14NO5+"	"Carbohydrates"	0.307	"Phenolic acids (C6-C1)"	0.344	"Simple phenolic acids"	0.165	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Alcohols and polyols"	0.759	"Secondary alcohols"	0.533	"Secondary alcohols"	0.533	"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	204.087	262	4.363	695994945254539264	695994663992889216	481	NA	481
2	"C22H34O12"	"[M + H3N + H]+"	"C22H38NO12+"	"Terpenoids"	0.963	"Monoterpenoids"	0.99	"Iridoids monoterpenoids"	0.938	"Lipids and lipid-like molecules"	0.848	"Prenol lipids"	0.777	"Terpene glycosides"	0.679	"Iridoid O-glycosides"	0.81	"Iridoid O-glycosides"	0.81	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Monoterpenoids; Bicyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Organic oxides; Iridoid O-glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	508.24	263	4.379	695994916259314304	695994664043220864	483	NA	483
1	"C10H12O4"	"[M - H2O + H]+"	"C10H11O3+"	"Shikimates and Phenylpropanoids"	0.404	"Cyclic polyketides"	0.32	"Isocoumarins"	0.614	"Benzenoids"	0.506	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.506	"Organic compounds; Organoheterocyclic compounds; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	179.07	263	4.38	695994888597878016	695994664068386688	484	NA	484
